Name,Gender,Initials
OANGARAN,0,OANG
OBINESH,0,OBIN
OHMKAARAN,0,OHMK
OHVIYAN,0,OHVI
OLINTHAN,0,OLIN
OLIRMATHAN,0,OLIR
OLLIYAN,0,OLLI
OMASH,0,OMAS
OMKRISH,0,OMKR
OMMURUGAN,0,OMMU
ONGARAN,0,ONGA
ONNESHA,0,ONNE
OOLIRNITHI,0,OOLI
OONGAARAN,0,OONG
OORMILAN,0,OORM
ORIVANTHAN,0,ORIV
ORUVAN,0,ORUV
OSHAN,0,OSHA
OSHIN,0,OSHI
OSWIN,0,OSWI
OVIKAN,0,OVIK
OVIN,0,OVIN
OVISHKAR,0,OVIS
PAAK,0,PAAK
PAAL,0,PAAL
PAAMARAN,0,PAAM
PAANAN,0,PAAN
PAARAJ,0,PAAR
PAASY,0,PAAS
PAATAV,0,PAAT
PAAVAK,0,PAAV
PAAWAN,0,PAAW
PABOK,0,PABO
PACHAI,0,PACH
PADAM,0,PADA
PADM,0,PADM
PAGALAVAN,0,PAGA
PAHALAVAN,0,PAHA
PAKALON,0,PAKA
PAKERAN,0,PAKE
PAKSHA,0,PAKS
PALAK,0,PALA
PALIN,0,PALI
PALKESH,0,PALK
PALLAB,0,PALL
PALVISH,0,PALV
PAMBAVASAN,0,PAMB
PAMPOSH,0,PAMP
PANAV,0,PANA
PANCHAANAN,0,PANC
PANDALAVASAN,0,PAND
PANINE,0,PANI
PANJU,0,PANJ
PANKAJ,0,PANK
PANMOLI,0,PANM
PANNALAL,0,PANN
PANSHUL,0,PANS
PANTH,0,PANT
PARAAG,0,PARA
PARBRAHM,0,PARB
PARDEEP,0,PARD
PAREES,0,PARE
PARIAMUTHAN,0,PARI
PARJANYA,0,PARJ
PARKASH,0,PARK
PARMAARTH,0,PARM
PARNAD,0,PARN
PAROKSH,0,PARO
PARSHAD,0,PARS
PARTAP,0,PART
PARUSH,0,PARU
PARV,0,PARV
PARWINDER,0,PARW
PASHUNATH,0,PASH
PASUPATH,0,PASU
PATAG,0,PATA
PATHANJALI,0,PATH
PATOJ,0,PATO
PATR,0,PATR
PATUSH,0,PATU
PAURAS,0,PAUR
PAV,0,PAV
PAVAK,0,PAVA
PAVEL,0,PAVE
PAVIN,0,PAVI
PAVLEEN,0,PAVL
PAWAN,0,PAWA
PAYAS,0,PAYA
PAYOD,0,PAYO
PAZHANANDAVAR,0,PAZH
PEETAMBAR,0,PEET
PEEYUSH,0,PEEY
PEHLAJ,0,PEHL
PERARIVAALAN,0,PERA
PERI,0,PERI
PERJANYA,0,PERJ
PERRANBAN,0,PERR
PERUMAL,0,PERU
PETCHI,0,PETC
PETURAM,0,PETU
