Name,Gender,Initials
TWISHA,1,TWIS
TADSIHA,1,TADS
TAHELI,1,TAHE
TAHNYAT,1,TAHN
TAMZHIL,1,TAMZ
TANWESHA,1,TANW
TASMITHA,1,TASM
TASSHINI,1,TASS
TASVINY,1,TASV
TAWISHA,1,TAWI
TEASHINI,1,TEAS
TEEBIHA,1,TEEB
TEEKSHA,1,TEEK
TEEPA,1,TEEP
TEHIHYA,1,TEHI
TENUJA,1,TENU
TEOLENI,1,TEOL
TEVATHAARANHI,1,TEVA
TEYA,1,TEYA
THAWMIYA,1,THAW
THEBISHNA,1,THEB
THEKSHAYINI,1,THEK
THERALINI,1,THER
THEWAKI,1,THEW
THIHASHNI,1,THIH
THIMIKA,1,THIM
THODI,1,THOD
THRGAYASHANI,1,THRG
THRSHALI,1,THRS
THUHINAH,1,THUH
THUPISHA,1,THUP
TIASMITA,1,TIAS
TIBANA,1,TIBA
TIKSHITHA,1,TIKS
TINNI,1,TINN
TIPPU,1,TIPP
TIRSHA,1,TIRS
TIVESSHA,1,TIVE
TRICA,1,TRIC
TRIZYA,1,TRIZ
TRUCY,1,TRUC
TURUVITH,1,TURU
TUSARIKA,1,TUSA
TUTTI,1,TUTT
TUUSHA,1,TUUS
TUVARNIYA,1,TUVA
TYLANNI,1,TYLA
UBIKA,1,UBIK
UCCHAL,1,UCCH
UDICHI,1,UDIC
UDIPTI,1,UDIP
UDISHA,1,UDIS
UDVITA,1,UDVI
UJAALA,1,UJAA
UJAS,1,UJAS
UJHALA,1,UJHA
ULKA,1,ULKA
ULLOLLI,1,ULLO
ULLUPI,1,ULLU
ULUPI,1,ULUP
UMA,1,UMA
UMI,1,UMI
UMIKA,1,UMIK
UMYAL,1,UMYA
UNJALI,1,UNJA
UNNMAI,1,UNNM
UNNYA,1,UNNY
UPMA,1,UPMA
URA,1,URA
URISHILLA,1,URIS
URNA,1,URNA
URSHITA,1,URSH
URSULA,1,URSU
USHMA,1,USHM
USHRA,1,USHR
USRA,1,USRA
USRI,1,USRI
UTALIKA,1,UTAL
UTSUKA,1,UTSU
UVAGAI,1,UVAG
UVAHAI,1,UVAH
UZHI,1,UZHI
UBASHNA,1,UBAS
UBILAYANI,1,UBIL
UDHISHA,1,UDHI
UDHYA,1,UDHY
UGA,1,UGA
UGGANTHI,1,UGGA
UHAANA,1,UHAA
UKINNIYAH,1,UKIN
UKSHANI,1,UKSH
UMADARSHANI,1,UMAD
UMAHARINI,1,UMAH
UMISHA,1,UMIS
UMSIHA,1,UMSI
UPSHARA,1,UPSH
URESHA,1,URES
URMAYA,1,URMA
URMESHA,1,URME
USITHA,1,USIT
